1,19,0,29.209,,,1,264,,,1
1,19,0.083333333,29.209,,,1,264,,,1
1,19,0.166666667,29.209,,,1,264,,,1
1,19,0.25,29.206,,,1,263,,,1
1,19,0.333333333,29.209,,,1,264,,,1
1,19,0.416666667,29.208,,,1,263,,,1
1,19,0.5,29.206,,,1,263,,,1
1,19,0.583333333,29.209,,,1,264,,,1
1,19,0.666666667,29.206,,,1,263,,,1
1,19,0.75,29.208,,,1,263,,,1
1,19,0.833333333,29.208,,,1,263,,,1
1,19,0.916666667,29.205,,,1,263,,,1
1,19,1,29.206,,,1,263,,,1
1,19,1.083333333,29.207,,,1,263,,,1
1,19,1.166666667,29.208,,,1,263,,,1
1,19,1.25,29.207,,,1,263,,,1
1,19,1.333333333,29.207,,,1,263,,,1
1,19,1.416666667,29.209,,,1,264,,,1
1,19,1.5,29.208,,,1,263,,,1
1,19,1.583333333,29.208,,,1,263,,,1
1,19,1.666666667,29.208,,,1,263,,,1
1,19,1.75,29.207,,,1,263,,,1
1,19,1.833333333,29.208,,,1,263,,,1
1,19,1.916666667,29.207,,,1,263,,,1
1,19,2,29.208,,,1,263,,,1
1,19,2.083333333,29.208,,,1,263,,,1
1,19,2.166666667,29.208,,,1,263,,,1
1,19,2.25,29.207,,,1,263,,,1
1,19,2.333333333,29.207,,,1,263,,,1
1,19,2.416666667,29.206,,,1,263,,,1
1,19,2.5,29.206,,,1,263,,,1
1,19,2.583333333,29.209,,,1,264,,,1
1,19,2.666666667,29.208,,,1,263,,,1
1,19,2.75,29.206,,,1,263,,,1
1,19,2.833333333,29.206,,,1,263,,,1
1,19,2.916666667,29.208,,,1,263,,,1
1,19,3,29.208,,,1,263,,,1
1,19,3.083333333,29.207,,,1,263,,,1
1,19,3.166666667,29.206,,,1,263,,,1
1,19,3.25,29.207,,,1,263,,,1
1,19,3.333333333,29.207,,,1,263,,,1
1,19,3.416666667,29.208,,,1,263,,,1
1,19,3.5,29.208,,,1,263,,,1
